iter	F1	Logloss
0	0.9220287799	0.6147353778
1	0.9250890676	0.5481320133
2	0.926261279	0.4961713233
3	0.9263392624	0.4512774
4	0.9262572651	0.411327311
5	0.9261880635	0.3795848104
6	0.9262732024	0.3523162998
7	0.9265306603	0.3288293173
8	0.9267507259	0.3097035121
9	0.9267587066	0.2938019493
10	0.9270472126	0.2783546448
11	0.9272852977	0.2649912883
12	0.9275911435	0.2545562948
13	0.9279481889	0.2452575917
14	0.928250066	0.2369172102
15	0.9284287791	0.2299333538
16	0.928622309	0.2241450263
17	0.9288656008	0.2192915827
18	0.9289846225	0.2144515767
19	0.9290419573	0.2098328404
20	0.9292239801	0.2059014293
21	0.9293833397	0.2025238078
22	0.9294191327	0.1994524563
23	0.9294847323	0.196837746
24	0.929525857	0.1943611023
25	0.929684467	0.1923662951
26	0.9297492417	0.1903783044
27	0.929871698	0.1882682627
28	0.9298629256	0.1866591591
29	0.9299984968	0.1853439817
30	0.9301125017	0.1840874762
31	0.930284406	0.1828468692
32	0.9303725505	0.1815798754
33	0.9305474446	0.1806203039
34	0.9306946215	0.1797396778
35	0.930808951	0.1787556141
36	0.9309880406	0.1778007105
37	0.9311860629	0.177010397
38	0.9313072831	0.1761417631
39	0.931452914	0.1754123872
40	0.9315604305	0.1746137339
41	0.9316889484	0.1740703543
42	0.9317516026	0.1735463497
43	0.931876563	0.1729284779
44	0.9319570767	0.1723857233
45	0.9319899771	0.1718146093
46	0.9320535231	0.1713864056
47	0.9320771923	0.1709299598
48	0.9321193783	0.1705806624
49	0.9321815338	0.1702174393
50	0.9322167642	0.1698892553
51	0.9322738728	0.1696168331
52	0.9324092521	0.1692011685
53	0.9324790769	0.1687991368
54	0.9325357939	0.1685288435
55	0.93259484	0.1681491164
56	0.9326834368	0.1677196042
57	0.9327841776	0.1674580999
58	0.9328329441	0.1672254043
59	0.9329341521	0.1668329039
60	0.9329954903	0.1665889973
61	0.9330331535	0.1664024541
62	0.9330481334	0.1662043484
63	0.9330727077	0.1659407738
64	0.9331218389	0.1657319064
65	0.933161376	0.1655014764
66	0.9332016208	0.1652702847
67	0.9332700921	0.1650124914
68	0.9333375146	0.1646995223
69	0.9333826369	0.1645082916
70	0.9334049409	0.164295303
71	0.9334979779	0.1640679981
72	0.9335378697	0.1638431736
73	0.9335981238	0.16365706
74	0.9336265206	0.1634843645
75	0.9337014337	0.1632660439
76	0.9337169542	0.163094032
77	0.9337944858	0.1628252621
78	0.9338002496	0.162723719
79	0.9338045928	0.1624686992
80	0.9338977625	0.1622918728
81	0.9339620176	0.1621323413
82	0.9340560143	0.1619568138
83	0.934102826	0.1617935714
84	0.9341213017	0.1616797822
85	0.9341450033	0.1615386687
86	0.934217316	0.1613947525
87	0.9342545637	0.1612866762
88	0.9342629352	0.1611443225
89	0.934307294	0.1610039122
90	0.9343208909	0.1608604452
91	0.9343386053	0.1607099763
92	0.9344084139	0.1605410015
93	0.9344751375	0.1603538528
94	0.9345257999	0.1601462158
95	0.9345569536	0.1600151805
96	0.9346074921	0.1598874069
97	0.9346687984	0.1597272504
98	0.9346944107	0.1595549846
99	0.9347887705	0.1594085586
100	0.934855671	0.159230199
101	0.9349015039	0.1591142516
102	0.9349569388	0.1589612436
103	0.935021097	0.1587838313
104	0.9351563837	0.1586443389
105	0.9352103329	0.1585306474
106	0.9352591671	0.158408782
107	0.9352872479	0.158212854
108	0.9353441801	0.15803301
109	0.9353996729	0.1578325215
110	0.9354298039	0.1577565644
111	0.9354778869	0.1576336443
112	0.9355200709	0.1575391227
113	0.9355756569	0.157395685
114	0.9356128304	0.1572262024
115	0.9356934481	0.1571122081
116	0.9357246346	0.1570262412
117	0.9357870079	0.1568849129
118	0.935812466	0.1567887018
119	0.9358104047	0.1566228618
120	0.9358664993	0.1565226957
121	0.9359078706	0.1564408206
122	0.9360137224	0.1562812012
123	0.9360241209	0.156137744
124	0.9360672613	0.1560170896
125	0.9361431397	0.1559014742
126	0.9361814422	0.1557805951
127	0.9362316379	0.155666552
128	0.9363008482	0.1554793936
129	0.936345157	0.1553467274
130	0.9363617243	0.1552726062
131	0.9364128624	0.1551633971
132	0.9364441541	0.1550244907
133	0.9364676068	0.1549051643
134	0.9364951222	0.1548061896
135	0.9365876854	0.1546593437
136	0.9366114665	0.1545768534
137	0.9366615374	0.1544627614
138	0.9367098859	0.1543725562
139	0.9368073053	0.1542494604
140	0.9368608462	0.1541519017
141	0.9368737436	0.1541046165
142	0.9369092591	0.1540239621
143	0.9369237803	0.153982253
144	0.9369668042	0.1538492157
145	0.936982007	0.153789704
146	0.9370154026	0.1537207488
147	0.9369992346	0.1536869597
148	0.9370176859	0.1536237077
149	0.9370388222	0.1535248696
150	0.9370905044	0.1534292055
