iter	Passed	Remaining
0	244	732617
1	462	693588
2	702	702150
3	917	687366
4	1157	693311
5	1388	693075
6	1592	680748
7	1819	680645
8	2038	677491
9	2248	672232
10	2473	672081
11	2662	662876
12	2853	655569
13	3072	655378
14	3286	654103
15	3469	647125
16	3687	647073
17	3893	644964
18	4101	643534
19	4289	639194
20	4516	640694
21	4752	643295
22	4934	638642
23	5114	634250
24	5365	638506
25	5569	637052
26	5771	635520
27	6001	637013
28	6181	633257
29	6375	631150
30	6615	633572
31	6809	631594
32	7017	630960
33	7240	631624
34	7443	630594
35	7634	628532
36	7835	627493
37	8035	626307
38	8247	626213
39	8453	625585
40	8667	625529
41	8860	624048
42	9068	623614
43	9264	622425
44	9446	620334
45	9638	618990
46	9879	620697
47	10069	619287
48	10291	619797
49	10470	617783
50	10657	616237
51	10872	616380
52	11102	617335
53	11353	619384
54	11549	618402
55	11746	617519
56	11955	617256
57	12191	618424
58	12455	620871
59	12684	621559
60	12868	619986
61	13067	619230
62	13308	620424
63	13522	620329
64	13726	619815
65	13954	620348
66	14156	619726
67	14367	619506
68	14567	618786
69	14827	620629
70	15040	620463
71	15274	621145
72	15484	620864
73	15700	620805
74	15947	621955
75	16119	620171
76	16332	620017
77	16548	619928
78	16757	619615
79	16976	619632
80	17214	620345
81	17444	620768
82	17634	619743
83	17797	617818
84	17998	617248
85	18194	616490
86	18438	617361
87	18664	617615
88	18901	618237
89	19108	617845
90	19330	617925
91	19541	617673
92	19737	616966
93	20002	618366
94	20236	618823
95	20456	618800
96	20651	618048
97	20897	618823
98	21105	618444
99	21335	618717
100	21559	618807
101	21778	618761
102	22015	619216
103	22262	619923
104	22500	620363
105	22729	620560
106	22993	621683
107	23195	621121
108	23399	620636
109	23670	621891
110	23922	622641
111	24153	622824
112	24411	623669
113	24648	624008
114	24862	623734
115	25065	623185
116	25266	622602
117	25494	622659
118	25725	622825
119	25970	623299
120	26179	622902
121	26385	622438
122	26620	622666
123	26872	623267
124	27089	623058
125	27315	623054
126	27562	623517
127	27784	623412
128	28056	624427
129	28287	624508
130	28529	624825
131	28769	625078
132	29035	625892
133	29273	626100
134	29486	625771
135	29708	625619
136	29938	625652
137	30142	625130
138	30390	625515
139	30669	626537
140	30900	626547
141	31110	626158
142	31314	625638
143	31501	624771
144	31728	624722
145	31992	625392
146	32220	625331
147	32446	625259
148	32671	625152
149	32919	625475
150	33167	625793
151	33389	625616
152	33584	624938
153	33780	624279
154	33971	623538
155	34208	623655
156	34406	623048
157	34633	622959
158	34862	622924
159	35114	623286
160	35354	623431
161	35615	623922
162	35833	623674
163	36023	622938
164	36270	623189
165	36524	623548
166	36797	624235
167	37034	624289
168	37222	623530
169	37452	623466
170	37663	623092
171	37852	622363
172	38051	621801
173	38278	621693
174	38493	621391
175	38722	621319
176	38987	621810
177	39223	621850
178	39451	621744
179	39669	621486
180	39845	620570
181	40035	619896
182	40255	619677
183	40471	619387
184	40703	619351
185	40952	619573
186	41197	619721
187	41383	618987
188	41588	618550
189	41770	617770
190	42004	617745
191	42190	617037
192	42411	616829
193	42649	616875
194	42879	616810
195	43087	616420
196	43290	615950
197	43520	615875
198	43758	615923
199	43975	615652
200	44232	615955
201	44496	616336
202	44731	616318
203	44978	616463
204	45175	615927
205	45435	616243
206	45656	616034
207	45914	616317
208	46120	615899
209	46351	615815
210	46569	615560
211	46804	615523
212	46990	614847
213	47182	614256
214	47391	613879
215	47635	613971
216	47848	613656
217	48079	613569
218	48275	613033
219	48502	612895
220	48757	613110
221	48985	612978
222	49221	612947
223	49459	612947
224	49653	612392
225	49887	612331
226	50124	612310
227	50353	612192
228	50596	612244
229	50820	612051
230	51042	611846
231	51290	611943
232	51519	611824
233	51726	611436
234	51977	611565
235	52202	611392
236	52422	611152
237	52694	611525
238	52938	611565
239	53158	611320
240	53401	611342
241	53632	611237
242	53862	611106
243	54103	611099
244	54319	610813
245	54488	610000
246	54682	609480
247	54903	609252
248	55153	609349
249	55391	609303
250	55614	609096
251	55852	609060
252	56115	609289
253	56328	608973
254	56573	608994
255	56774	608547
256	57031	608700
257	57265	608608
258	57508	608612
259	57739	608483
260	57922	607854
261	58142	607609
262	58360	607345
263	58593	607246
264	58788	606744
265	59005	606471
266	59256	606550
267	59469	606233
268	59712	606224
269	59913	605793
270	60120	605422
271	60367	605447
272	60598	605324
273	60909	605978
274	61144	605885
275	61386	605853
276	61607	605624
277	61841	605513
278	62076	605413
279	62303	605237
280	62484	604612
281	62733	604646
282	62961	604476
283	63209	604497
284	63443	604378
285	63670	604202
286	63880	603862
287	64109	603696
288	64372	603851
289	64614	603811
290	64858	603786
291	65085	603599
292	65339	603667
293	65569	603505
294	65825	603582
295	66032	603215
296	66258	603022
297	66486	602836
298	66714	602662
299	66964	602681
300	67159	602206
301	67366	601838
302	67594	601659
303	67840	601639
304	68101	601748
305	68329	601571
306	68587	601645
307	68825	601550
308	69027	601146
309	69273	601114
310	69483	600778
311	69707	600557
312	69961	600599
313	70182	600347
314	70467	600647
315	70688	600407
316	70939	600413
317	71186	600382
318	71427	600302
319	71700	600491
320	71932	600333
321	72184	600344
322	72450	600464
323	72680	600290
324	72892	599958
325	73112	599703
326	73334	599461
327	73564	599277
328	73813	599258
329	74014	598846
330	74261	598803
331	74488	598600
332	74703	598304
333	74950	598253
334	75156	597886
335	75430	598053
336	75672	597972
337	75884	597650
338	76092	597289
339	76351	597337
340	76582	597166
341	76770	596651
342	77015	596589
343	77241	596373
344	77461	596113
345	77730	596231
346	77961	596060
347	78179	595779
348	78421	595685
349	78635	595381
350	78851	595090
351	79037	594576
352	79272	594433
353	79489	594147
354	79735	594087
355	79990	594084
356	80219	593893
357	80448	593702
358	80664	593413
359	80901	593275
360	81147	593206
361	81349	592816
362	81570	592565
363	81808	592433
364	82059	592404
365	82296	592264
366	82544	592206
367	82760	591919
368	82976	591628
369	83189	591323
370	83391	590931
371	83627	590789
372	83846	590519
373	84078	590347
374	84277	589942
375	84503	589727
376	84741	589591
377	84976	589443
378	85227	589394
379	85467	589278
380	85707	589157
381	85942	589000
382	86184	588886
383	86444	588899
384	86690	588817
385	86893	588447
386	87112	588178
387	87356	588077
388	87583	587865
389	87846	587897
390	88078	587717
391	88336	587707
392	88586	587644
393	88819	587469
394	89033	587170
395	89270	587022
396	89463	586583
397	89688	586353
398	89897	586020
399	90138	585901
400	90378	585770
401	90589	585454
402	90807	585178
403	91020	584874
404	91235	584584
405	91458	584341
406	91692	584171
407	91914	583930
408	92107	583497
409	92320	583194
410	92570	583125
411	92799	582926
