iter	F1	Logloss
0	1	0.4980540161
1	1	0.3545420837
2	1	0.2513881836
3	1	0.1806017914
4	1	0.1286955719
5	1	0.0923527298
6	1	0.06778488922
7	1	0.04954352951
8	1	0.03659778595
9	1	0.02773397446
10	1	0.02124562836
11	1	0.01620114326
12	1	0.01248939705
13	1	0.009881457329
14	1	0.007773219109
15	1	0.006274065971
16	1	0.005110620975
17	1	0.00420026207
18	1	0.003425045252
19	1	0.002817323446
20	1	0.002375223398
21	1	0.002017269373
22	1	0.001697271347
23	1	0.001462643862
24	1	0.001248135209
25	1	0.001089460373
26	1	0.0009568012357
27	1	0.0008312891722
28	1	0.0007383521795
29	1	0.0006590497494
30	1	0.000581479609
31	1	0.0005241019726
32	1	0.0004747634232
33	1	0.0004315621555
34	1	0.0003939635754
35	1	0.0003606546223
36	1	0.0003317525387
37	1	0.0003060114384
38	1	0.0002827084363
39	1	0.0002622086406
40	1	0.0002437931299
41	1	0.0002273463309
42	1	0.0002126858234
43	1	0.0001993402541
44	1	0.0001871216297
45	1	0.0001760354489
46	1	0.0001659047753
47	1	0.0001572623551
48	1	0.0001485603005
49	1	0.0001406945437
50	1	0.0001341978312
51	1	0.0001274626851
52	1	0.0001215042323
53	1	0.0001158419549
54	1	0.0001108352989
55	1	0.0001055902243
56	1	0.0001014776379
57	1	9.760344774e-05
58	1	9.331569076e-05
59	1	8.973951638e-05
60	1	8.669977635e-05
61	1	8.336200565e-05
62	1	8.05606693e-05
63	1	7.740171254e-05
64	1	7.483878732e-05
65	1	7.287190109e-05
66	1	6.995134801e-05
67	1	6.762682647e-05
68	1	6.589835882e-05
69	1	6.369304657e-05
70	1	6.154732406e-05
71	1	5.99976629e-05
72	1	5.797115341e-05
73	1	5.648108572e-05
74	1	5.457378179e-05
75	1	5.362015218e-05
76	1	5.183205381e-05
77	1	5.099762976e-05
78	1	4.96863611e-05
79	1	4.843470082e-05
80	1	4.724264517e-05
81	1	4.605058208e-05
82	1	4.491812363e-05
83	1	4.378566518e-05
84	1	4.313005134e-05
85	1	4.205719754e-05
86	1	4.104393721e-05
87	1	4.044792056e-05
88	1	3.943466768e-05
89	1	3.848101571e-05
90	1	3.746776283e-05
91	1	3.699094802e-05
92	1	3.60969007e-05
93	1	3.562008217e-05
94	1	3.520287201e-05
95	1	3.430881724e-05
96	1	3.341476992e-05
97	1	3.305716068e-05
98	1	3.216310963e-05
99	1	3.180549666e-05
100	1	3.144788742e-05
101	1	3.067304194e-05
102	1	3.031542897e-05
103	1	2.954058349e-05
104	1	2.918297425e-05
105	1	2.840812877e-05
106	1	2.858695388e-05
107	1	2.78121084e-05
108	1	2.757370099e-05
109	1	2.727569267e-05
110	1	2.656044625e-05
111	1	2.584520355e-05
112	1	2.602403238e-05
113	1	2.530878596e-05
114	1	2.507038042e-05
115	1	2.483197302e-05
116	1	2.417632937e-05
117	1	2.393792383e-05
118	1	2.417635173e-05
119	1	2.352070808e-05
120	1	2.33419016e-05
121	1	2.26266589e-05
122	1	2.197101526e-05
123	1	2.22690478e-05
124	1	2.161340415e-05
125	1	2.143459953e-05
126	1	2.125579305e-05
127	1	2.107698843e-05
128	1	2.042134851e-05
129	1	1.976570301e-05
130	1	2.012333833e-05
131	1	1.994453184e-05
132	1	1.982532628e-05
133	1	1.964652352e-05
134	1	1.90504808e-05
135	1	1.887167618e-05
136	1	1.827563345e-05
137	1	1.815643162e-05
138	1	1.797762513e-05
139	1	1.833526045e-05
140	1	1.773921773e-05
141	1	1.809685305e-05
142	1	1.750081033e-05
143	1	1.738160662e-05
144	1	1.726240478e-05
145	1	1.714319922e-05
146	1	1.654716022e-05
147	1	1.642795466e-05
148	1	1.583191566e-05
149	1	1.666638441e-05
150	1	1.559350826e-05
151	1	1.601074263e-05
152	1	1.589153893e-05
153	1	1.577233337e-05
154	1	1.571273245e-05
155	1	1.559353061e-05
156	1	1.547432505e-05
157	1	1.541472413e-05
158	1	1.434184611e-05
159	1	1.475908235e-05
160	1	1.463987771e-05
161	1	1.458027679e-05
162	1	1.446107216e-05
163	1	1.392463315e-05
164	1	1.386503223e-05
165	1	1.374582946e-05
166	1	1.368622668e-05
167	1	1.404386014e-05
168	1	1.35074202e-05
169	1	1.392465737e-05
170	1	1.338821836e-05
171	1	1.326901373e-05
172	1	1.273257472e-05
173	1	1.267297287e-05
174	1	1.309020817e-05
175	1	1.255376823e-05
176	1	1.291140262e-05
177	1	1.237496454e-05
178	1	1.231536269e-05
179	1	1.273259707e-05
180	1	1.219615899e-05
181	1	1.213655621e-05
182	1	1.207695436e-05
183	1	1.249418966e-05
184	1	1.195775159e-05
185	1	1.189814787e-05
186	1	1.183854695e-05
187	1	1.17789451e-05
188	1	1.171934418e-05
189	1	1.213657856e-05
190	1	1.207697671e-05
191	1	1.154053956e-05
192	1	1.100409962e-05
193	1	1.046766061e-05
194	1	1.088489592e-05
195	1	1.082529314e-05
196	1	1.082529314e-05
197	1	1.076569222e-05
198	1	1.070608944e-05
199	1	1.064648852e-05
200	1	1.058688574e-05
201	1	1.052728482e-05
202	1	1.005044766e-05
203	1	9.990844876e-06
204	1	1.040808018e-05
205	1	9.871642105e-06
206	1	9.871642105e-06
207	1	9.812040254e-06
208	1	9.752438404e-06
209	1	1.016967371e-05
210	1	1.016967371e-05
211	1	1.011007186e-05
212	1	9.57363192e-06
213	1	9.990868159e-06
214	1	9.514031e-06
215	1	9.454428218e-06
216	1	9.871664457e-06
217	1	9.871664457e-06
218	1	9.812062606e-06
219	1	9.752460755e-06
220	1	8.798786439e-06
221	1	9.216021746e-06
222	1	8.739184588e-06
223	1	8.679582737e-06
224	1	8.619980887e-06
225	1	9.096818045e-06
226	1	8.560379036e-06
227	1	9.037216194e-06
228	1	8.500777185e-06
229	1	8.918012492e-06
230	1	8.918012492e-06
231	1	8.381573483e-06
232	1	8.381573483e-06
233	1	8.321971633e-06
234	1	8.321971633e-06
235	1	8.262369782e-06
236	1	8.202767931e-06
237	1	8.679605089e-06
238	1	8.620003238e-06
239	1	8.620003238e-06
240	1	8.083565161e-06
241	1	8.560402319e-06
242	1	8.500799537e-06
243	1	8.023962379e-06
244	1	8.441197686e-06
245	1	8.441197686e-06
246	1	8.381595835e-06
247	1	7.904758677e-06
248	1	8.321994916e-06
249	1	8.321994916e-06
250	1	8.321994916e-06
251	1	7.785554975e-06
252	1	7.785554975e-06
253	1	7.72595359e-06
254	1	7.72595359e-06
255	1	7.666351274e-06
256	1	8.143188432e-06
257	1	7.606749423e-06
258	1	7.606749423e-06
259	1	7.606749423e-06
260	1	8.023985662e-06
261	1	8.023985662e-06
262	1	7.010709029e-06
263	1	7.010709029e-06
264	1	6.474269554e-06
265	1	6.951106712e-06
266	1	6.951106712e-06
267	1	7.36834202e-06
268	1	6.414667703e-06
269	1	7.308740169e-06
270	1	6.831903011e-06
271	1	6.831903011e-06
272	1	6.295464933e-06
273	1	6.772302091e-06
274	1	6.772302091e-06
275	1	6.71270024e-06
276	1	6.71270024e-06
277	1	6.235863082e-06
278	1	7.129935082e-06
279	1	6.653097924e-06
280	1	6.593495607e-06
281	1	6.116658449e-06
282	1	6.593495607e-06
283	1	6.593495607e-06
284	1	7.01073138e-06
285	1	6.533894222e-06
286	1	7.01073138e-06
287	1	6.474291906e-06
288	1	6.474291906e-06
289	1	6.474291906e-06
290	1	6.414690521e-06
