iter	Passed	Remaining
0	14	43895
1	25	37833
2	35	35534
3	46	34664
4	57	34161
5	67	33484
6	77	33220
7	87	32891
8	98	32631
9	109	32622
10	119	32460
11	129	32279
12	139	32058
13	150	32003
14	160	31915
15	171	31969
16	182	31948
17	193	32033
18	208	32661
19	223	33244
20	233	33136
21	244	33105
22	254	32929
23	265	32888
24	274	32711
25	284	32587
26	294	32470
27	304	32336
28	315	32275
29	325	32253
30	335	32154
31	346	32103
32	358	32202
33	368	32140
34	378	32084
35	389	32065
36	399	32012
37	410	32031
38	423	32191
39	435	32233
40	445	32176
41	456	32128
42	466	32047
43	477	32048
44	486	31976
45	497	31926
46	507	31878
47	517	31833
48	527	31792
49	537	31722
50	547	31655
51	557	31595
52	567	31557
53	577	31499
54	587	31463
55	597	31404
56	607	31348
57	617	31296
58	627	31268
59	637	31215
60	647	31199
61	659	31264
62	671	31318
63	683	31360
64	695	31420
65	707	31461
66	719	31512
67	731	31556
68	743	31598
69	755	31628
70	767	31680
71	779	31709
72	791	31745
73	803	31763
74	815	31798
75	827	31819
76	839	31855
77	850	31867
78	862	31899
79	874	31911
80	886	31929
81	898	31971
82	910	32002
83	922	32025
84	934	32049
85	946	32062
86	957	32073
87	969	32092
88	982	32121
89	993	32133
90	1006	32162
91	1018	32183
92	1030	32210
93	1042	32230
94	1054	32238
95	1066	32252
96	1078	32271
97	1090	32280
98	1101	32287
99	1113	32294
100	1125	32304
101	1137	32318
102	1148	32312
103	1160	32321
104	1173	32352
105	1185	32371
106	1198	32398
107	1210	32405
108	1222	32420
109	1234	32434
110	1246	32449
111	1258	32458
112	1271	32486
113	1281	32437
114	1291	32389
115	1300	32342
116	1311	32306
117	1320	32260
118	1330	32217
119	1340	32183
120	1350	32138
121	1360	32099
122	1370	32065
123	1381	32033
124	1391	31999
125	1401	31956
126	1410	31916
127	1421	31885
128	1430	31844
129	1441	31813
130	1450	31773
131	1460	31736
132	1470	31699
133	1480	31663
134	1490	31635
135	1500	31599
136	1510	31562
137	1520	31533
138	1530	31504
139	1540	31468
140	1550	31431
141	1559	31396
142	1570	31369
143	1579	31335
144	1590	31307
145	1599	31273
146	1609	31240
147	1619	31206
148	1629	31173
149	1639	31143
150	1651	31166
151	1665	31201
152	1678	31225
153	1690	31232
154	1701	31235
155	1714	31250
156	1726	31260
157	1738	31265
158	1750	31274
159	1760	31251
160	1770	31222
161	1780	31197
162	1791	31172
163	1800	31140
164	1810	31110
165	1820	31079
166	1830	31049
167	1840	31027
168	1850	30998
169	1860	30976
170	1871	30954
171	1880	30926
172	1890	30897
173	1900	30869
174	1910	30840
175	1920	30811
176	1930	30790
177	1940	30762
178	1950	30735
179	1960	30714
180	1970	30688
181	1980	30668
182	1991	30648
183	2001	30627
184	2011	30603
185	2021	30583
186	2031	30562
187	2041	30538
188	2052	30520
189	2062	30504
190	2072	30485
191	2082	30459
192	2092	30435
193	2103	30421
194	2114	30421
195	2126	30418
196	2137	30409
197	2147	30389
198	2157	30374
199	2168	30357
200	2178	30338
201	2188	30320
202	2199	30308
203	2209	30289
204	2220	30276
205	2230	30257
206	2241	30239
207	2251	30226
208	2262	30208
209	2272	30190
210	2283	30177
211	2293	30159
212	2303	30140
213	2314	30126
214	2324	30114
215	2335	30096
216	2345	30083
217	2355	30065
218	2366	30047
219	2376	30034
220	2387	30016
221	2397	30005
222	2408	29988
223	2418	29975
224	2428	29957
225	2439	29939
226	2449	29928
227	2460	29911
228	2470	29894
229	2481	29882
230	2491	29865
231	2501	29846
232	2511	29830
233	2521	29808
234	2531	29787
235	2542	29782
236	2555	29794
237	2566	29789
238	2577	29774
239	2588	29762
240	2598	29749
241	2609	29735
242	2619	29715
243	2628	29694
244	2639	29678
245	2649	29663
246	2659	29646
247	2670	29629
248	2680	29614
249	2691	29603
250	2701	29592
251	2712	29580
252	2723	29565
253	2733	29554
254	2744	29544
255	2755	29532
256	2765	29519
257	2776	29504
258	2786	29493
259	2797	29478
260	2807	29466
261	2818	29452
262	2828	29437
263	2839	29426
264	2849	29411
265	2860	29396
266	2870	29385
267	2881	29374
268	2892	29363
269	2902	29349
270	2913	29338
271	2924	29328
272	2934	29317
273	2945	29302
274	2955	29288
275	2966	29277
276	2976	29262
277	2987	29251
278	2998	29241
279	3009	29230
280	3019	29215
281	3029	29201
282	3040	29186
283	3050	29173
284	3061	29162
285	3072	29152
286	3082	29138
287	3092	29123
288	3103	29109
289	3113	29095
290	3123	29081
291	3134	29067
292	3145	29056
293	3155	29045
294	3166	29031
295	3176	29017
296	3186	29002
297	3197	28988
298	3207	28975
299	3218	28964
300	3228	28950
301	3238	28936
302	3249	28925
303	3259	28910
304	3270	28896
305	3281	28885
306	3295	28905
307	3309	28928
308	3324	28951
309	3339	28973
310	3353	28992
311	3367	29015
312	3381	29033
313	3396	29054
314	3411	29076
315	3425	29096
316	3439	29114
317	3454	29136
318	3468	29153
319	3483	29173
320	3498	29193
321	3512	29214
322	3527	29234
323	3541	29252
324	3556	29271
325	3570	29289
326	3585	29307
327	3599	29323
328	3613	29337
329	3627	29351
330	3641	29365
331	3656	29380
332	3669	29389
333	3683	29398
334	3696	29407
335	3710	29419
336	3724	29431
337	3738	29439
338	3752	29452
339	3766	29464
340	3780	29476
341	3794	29488
342	3808	29499
343	3822	29512
344	3836	29524
345	3850	29538
346	3864	29549
347	3879	29563
348	3893	29573
349	3907	29587
350	3922	29601
351	3936	29615
352	3950	29625
353	3964	29634
354	3978	29643
355	3993	29656
356	4007	29665
357	4020	29670
358	4033	29676
359	4047	29684
360	4061	29692
361	4075	29697
362	4089	29705
363	4103	29718
364	4118	29729
365	4132	29738
366	4146	29749
367	4160	29756
368	4174	29767
369	4189	29778
370	4203	29786
371	4217	29793
372	4231	29801
373	4245	29811
374	4259	29818
375	4273	29825
376	4288	29835
377	4302	29842
378	4316	29849
